Question,Response,Response Time
﻿Question,"Hello! How can I assist you today? If you have a specific question about navigating the Atlas map, feel free to ask!",3.736813
What kind of data do you have?,"The Atlas project provides data on children's health, development, and wellbeing across various themes. Major categories include Early Childhood Development, Education and Schooling, Health and Wellbeing, Social and Community Services, Crime and Safety, Demographics and Population Data, Public Health and Disease Surveillance, Road Safety, Electoral Data, and Healthcare Services. If you need information on a specific theme, let me know!",6.42059
What topics does your dataset cover?,"The dataset covers a variety of topics including Early Childhood Development, Education and Schooling, Health and Wellbeing, Social and Community Services, Crime and Safety, Demographics and Population Data, Public Health and Disease Surveillance, Road Safety, Electoral Data, and Healthcare Services. If you're interested in a specific topic, just let me know!",6.477759
What kind of information can I find on this website?,"On this website, you can find data related to children's health, development, and wellbeing across various themes such as Healthy, Identity & Culture, Learning, Material Basics, Participation, and Valued, Loved and Safe. You can explore subcategories within these themes to access specific data points. Additionally, the site provides tools for filtering data by age, sex, collection year, and statistical areas.",7.303705
How is the data organized into different topics or categories here?,"The data is organized into major categories that include Early Childhood Development, Education and Schooling, Health and Wellbeing, Social and Community Services, Crime and Safety, Demographics and Population Data, Public Health and Disease Surveillance, Road Safety, Electoral Data, and Healthcare Services. Each of these categories is further divided into specific themes such as Healthy, Identity & Culture, Learning, Material Basics, Participation, and Valued, Loved and Safe. You can explore these themes to find relevant subcategories and data points.",7.226443
Where can I find information about children and young people with disabilities?,"To find information about children and young people with disabilities, open the Atlas map, navigate to the right-hand side pane, and type ""disability"" in the search box. If data is available, you can select the relevant subcategory of interest from the drop-down options.",7.570442
How do I search for details about chronic health conditions and hospital admissions related to diabetes here?,"To search for details about chronic health conditions and hospital admissions related to diabetes, open the Atlas map, navigate to the right-hand side pane, and type ""diabetes"" in the search box. If data is available, you can select the relevant subcategory of interest from the drop-down options.",6.94982
What sections can I explore to learn about emergency department presentations in WA hospitals?,"To learn about emergency department presentations in WA hospitals, open the Atlas map, navigate to the right-hand side pane, and type ""emergency department presentations"" in the search box. If data is available, you can explore various subcategories related to ED presentations in WA hospitals. Select the most suitable option from the drop-down list to access the information.",6.027928
How can I find information on different types of ED presentations at public hospitals?,"To find information on different types of ED presentations at public hospitals, open the Atlas map, navigate to the right-hand side pane, and type ""ED presentations by type"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to explore the details.",6.430616
Can you help me find information about the estimated population of children and young people on this website?,"To find information about the estimated population of children and young people, open the Atlas map, navigate to the right-hand side pane, and type ""estimated population"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",6.587672
